"DAzer";"DKumyk";"DLezgian";"DRutul";"IkhAish";"IkhJar";"IkhSal";"IkhZij";"KicheSej";"KicheSer";"KinaMev";"KinaNur";"KinaShaf";"Kusur";"RutVera"
"DAzer";0.0;0.7039106145251397;0.7288135593220338;0.7468354430379747;0.7252747252747253;0.7111111111111111;0.7150837988826816;0.7016574585635359;0.7235294117647059;0.7425149700598802;0.7235294117647059;0.7134831460674157;0.6857142857142857;0.7923497267759563;0.7134146341463414
"DKumyk";0.7039106145251397;0.0;0.7821229050279329;0.76875;0.7923497267759563;0.8011049723756906;0.7845303867403315;0.7967032967032966;0.7790697674418605;0.7869822485207101;0.7848837209302325;0.7944444444444444;0.7840909090909091;0.842391304347826;0.7831325301204819
"DLezgian";0.7288135593220338;0.7821229050279329;0.0;0.6894409937888198;0.6740331491712708;0.6759776536312849;0.6815642458100558;0.6666666666666666;0.6176470588235294;0.6467065868263473;0.7;0.672316384180791;0.6781609195402298;0.8076923076923077;0.6303030303030303
"DRutul";0.7468354430379747;0.76875;0.6894409937888198;0.0;0.4662576687116564;0.4506172839506173;0.4601226993865031;0.43902439024390244;0.4155844155844156;0.42;0.39869281045751637;0.4025157232704403;0.4012738853503185;0.7560975609756098;0.33112582781456956
"IkhAish";0.7252747252747253;0.7923497267759563;0.6740331491712708;0.4662576687116564;0.0;0.14594594594594595;0.1358695652173913;0.21505376344086022;0.37142857142857144;0.391812865497076;0.3583815028901734;0.3076923076923077;0.329608938547486;0.6914893617021277;0.32142857142857145
"IkhJar";0.7111111111111111;0.8011049723756906;0.6759776536312849;0.4506172839506173;0.14594594594594595;0.0;0.1813186813186813;0.21195652173913043;0.3563218390804598;0.3727810650887574;0.3236994219653179;0.3021978021978022;0.2905027932960894;0.6881720430107527;0.31547619047619047
"IkhSal";0.7150837988826816;0.7845303867403315;0.6815642458100558;0.4601226993865031;0.1358695652173913;0.1813186813186813;0.0;0.2391304347826087;0.3872832369942196;0.38095238095238093;0.3488372093023256;0.3128491620111732;0.3181818181818182;0.6864864864864865;0.32335329341317365
"IkhZij";0.7016574585635359;0.7967032967032966;0.6666666666666666;0.43902439024390244;0.21505376344086022;0.21195652173913043;0.2391304347826087;0.0;0.40229885057471265;0.3905325443786982;0.34104046242774566;0.3149171270718232;0.30337078651685395;0.7165775401069518;0.3392857142857143
"KicheSej";0.7235294117647059;0.7790697674418605;0.6176470588235294;0.4155844155844156;0.37142857142857144;0.3563218390804598;0.3872832369942196;0.40229885057471265;0.0;0.21341463414634146;0.3413173652694611;0.32947976878612717;0.35502958579881655;0.68;0.275
"KicheSer";0.7425149700598802;0.7869822485207101;0.6467065868263473;0.42;0.391812865497076;0.3727810650887574;0.38095238095238093;0.3905325443786982;0.21341463414634146;0.0;0.35365853658536583;0.34911242603550297;0.3575757575757576;0.695906432748538;0.2356687898089172
"KinaMev";0.7235294117647059;0.7848837209302325;0.7;0.39869281045751637;0.3583815028901734;0.3236994219653179;0.3488372093023256;0.34104046242774566;0.3413173652694611;0.35365853658536583;0.0;0.23699421965317918;0.24404761904761904;0.7126436781609196;0.3167701863354037
"KinaNur";0.7134831460674157;0.7944444444444444;0.672316384180791;0.4025157232704403;0.3076923076923077;0.3021978021978022;0.3128491620111732;0.3149171270718232;0.32947976878612717;0.34911242603550297;0.23699421965317918;0.0;0.2159090909090909;0.6994535519125683;0.27710843373493976
"KinaShaf";0.6857142857142857;0.7840909090909091;0.6781609195402298;0.4012738853503185;0.329608938547486;0.2905027932960894;0.3181818181818182;0.30337078651685395;0.35502958579881655;0.3575757575757576;0.24404761904761904;0.2159090909090909;0.0;0.7111111111111111;0.29878048780487804
"Kusur";0.7923497267759563;0.842391304347826;0.8076923076923077;0.7560975609756098;0.6914893617021277;0.6881720430107527;0.6864864864864865;0.7165775401069518;0.68;0.695906432748538;0.7126436781609196;0.6994535519125683;0.7111111111111111;0.0;0.7100591715976331
"RutVera";0.7134146341463414;0.7831325301204819;0.6303030303030303;0.33112582781456956;0.32142857142857145;0.31547619047619047;0.32335329341317365;0.3392857142857143;0.275;0.2356687898089172;0.3167701863354037;0.27710843373493976;0.29878048780487804;0.7100591715976331;0.0

