EngNames,Lat,Lon,Language,Group,Family,color,influence
Andi,42.7856,46.2639,Andi,Andic,Nakh-Daghestanian,orange3,Avar
Gagatli,42.800361,46.292645,Andi,Andic,Nakh-Daghestanian,orange3,Avar
Zilo,42.731394,46.319223,Andi,Andic,Nakh-Daghestanian,orange3,Avar
Rikvani,42.782304,46.319372,Andi,Andic,Nakh-Daghestanian,orange3,Avar
Kusur,41.781293,46.949207,Avar,Avar,Nakh-Daghestanian,yellow,Azeri
Bezhta,42.1339,46.1247,Bezhta,Tsezic,Nakh-Daghestanian,palevioletred,Georgian
Botlikh,42.667813,46.221451,Botlikh,Andic,Nakh-Daghestanian,sandybrown,Avar
Genukh,42.1764,45.98646,Hinuq,Tsezic,Nakh-Daghestanian,pink,Georgian
Khlyut,41.496274,47.533824,Lezgian,Lezgic,Nakh-Daghestanian,#74C476,Azeri
Ikhrek,41.693931,47.210005,Rutul,Lezgic,Nakh-Daghestanian,greenyellow,Azeri
Kina,41.6166,47.2647,Rutul,Lezgic,Nakh-Daghestanian,greenyellow,Azeri
Kiche,41.53146,47.48171,Rutul,Lezgic,Nakh-Daghestanian,greenyellow,Azeri
Rutul,41.5342,47.4269,Rutul,Lezgic,Nakh-Daghestanian,greenyellow,Azeri
Gel'mets,41.62466,47.17889,Tsakhur,Lezgic,Nakh-Daghestanian,seagreen,Azeri
Kidero,42.1931,45.9583,Tsez,Tsezic,Nakh-Daghestanian,brown1,Georgian
