Archi	WOLD	%	Shortlist	%	Bezhta	WOLD	%	Shortlist	%
Horizontal	100	8	17	8	Horizontal	219	15	59	24
Avar	77	6	13	6	Avar	156	11	30	12
Lak	23	2	4	2	Georgian	63	4	29	12
Turkic	22	2	9	4	Turkic	20	1	9	4
Vertical	0	12	0	17	Vertical	218	15	47	19
Arabic	64	5	10	5	Arabic	79	5	12	5
Persian	31	2	15	7	Persian	27	2	12	5
Russian	59	5	10	5	Russian	112	8	23	9
Unidentified	197	16	59	28	Unidentified	13	1	7	3
Non loan	781	62	92	43	Non loan	999	68	123	50
NA	310	25	39	18	NA	95	6	6	2
Total without NA	1254	100	212	100	Total without NA	1469	100	245	100
